================================================================================
 case3                                                                                               
 Short sim name = case3           
================================================================================
    t-t0      NO            NO2           O3            OH            HO2           CO            H2O2          HNO3          HCHO          ISOP          ISOPRD
     0.0  0.100000E+01  0.100000E+02  0.120000E+03  0.000000E+00  0.000000E+00  0.100000E+03  0.100000E+01  0.000000E+00  0.500000E+00  0.100000E+02  0.000000E+00
    10.0  0.134850E+01  0.964321E+01  0.120345E+03  0.131165E+07  0.396791E+08  0.100000E+03  0.999908E+00  0.109043E-02  0.504857E+00  0.998394E+01  0.677252E-02
    20.0  0.152991E+01  0.945027E+01  0.120538E+03  0.168281E+07  0.696803E+08  0.100001E+03  0.999817E+00  0.255863E-02  0.514804E+00  0.996360E+01  0.208172E-01
    30.0  0.162169E+01  0.934566E+01  0.120651E+03  0.195776E+07  0.898668E+08  0.100001E+03  0.999729E+00  0.432582E-02  0.527845E+00  0.993988E+01  0.393018E-01
    40.0  0.166757E+01  0.928671E+01  0.120724E+03  0.217333E+07  0.105694E+09  0.100001E+03  0.999644E+00  0.631170E-02  0.542743E+00  0.991370E+01  0.604433E-01
    50.0  0.168827E+01  0.925301E+01  0.120777E+03  0.235458E+07  0.119465E+09  0.100002E+03  0.999565E+00  0.848163E-02  0.559009E+00  0.988549E+01  0.835388E-01
    60.0  0.169562E+01  0.923283E+01  0.120820E+03  0.251494E+07  0.132099E+09  0.100002E+03  0.999490E+00  0.108126E-01  0.576382E+00  0.985554E+01  0.108218E+00
    70.0  0.169577E+01  0.922000E+01  0.120860E+03  0.265986E+07  0.143868E+09  0.100002E+03  0.999423E+00  0.133003E-01  0.594790E+00  0.982393E+01  0.134373E+00
    80.0  0.169272E+01  0.921050E+01  0.120900E+03  0.279478E+07  0.155011E+09  0.100002E+03  0.999361E+00  0.159094E-01  0.613980E+00  0.979106E+01  0.161643E+00
    90.0  0.168774E+01  0.920306E+01  0.120940E+03  0.291985E+07  0.165485E+09  0.100003E+03  0.999306E+00  0.186500E-01  0.634002E+00  0.975684E+01  0.190094E+00
   100.0  0.168198E+01  0.919651E+01  0.120983E+03  0.303742E+07  0.175401E+09  0.100003E+03  0.999257E+00  0.214989E-01  0.654697E+00  0.972153E+01  0.219499E+00
   110.0  0.167584E+01  0.919042E+01  0.121027E+03  0.314778E+07  0.184752E+09  0.100003E+03  0.999216E+00  0.244565E-01  0.676054E+00  0.968513E+01  0.249837E+00
   120.0  0.166962E+01  0.918451E+01  0.121074E+03  0.325179E+07  0.193579E+09  0.100004E+03  0.999181E+00  0.275135E-01  0.698005E+00  0.964777E+01  0.281009E+00
   130.0  0.166347E+01  0.917862E+01  0.121123E+03  0.334961E+07  0.201878E+09  0.100004E+03  0.999154E+00  0.306700E-01  0.720536E+00  0.960945E+01  0.312992E+00
   140.0  0.165746E+01  0.917266E+01  0.121175E+03  0.344209E+07  0.209709E+09  0.100004E+03  0.999133E+00  0.339136E-01  0.743563E+00  0.957032E+01  0.345662E+00
   150.0  0.165162E+01  0.916661E+01  0.121228E+03  0.352968E+07  0.217103E+09  0.100005E+03  0.999120E+00  0.372381E-01  0.767039E+00  0.953044E+01  0.378951E+00
   160.0  0.164597E+01  0.916043E+01  0.121283E+03  0.361251E+07  0.224066E+09  0.100005E+03  0.999113E+00  0.406420E-01  0.790944E+00  0.948986E+01  0.412826E+00
   170.0  0.164050E+01  0.915413E+01  0.121340E+03  0.369097E+07  0.230627E+09  0.100006E+03  0.999112E+00  0.441198E-01  0.815236E+00  0.944862E+01  0.447225E+00
   180.0  0.163523E+01  0.914770E+01  0.121398E+03  0.376543E+07  0.236815E+09  0.100006E+03  0.999118E+00  0.476659E-01  0.839874E+00  0.940680E+01  0.482089E+00
   190.0  0.163012E+01  0.914114E+01  0.121458E+03  0.383612E+07  0.242649E+09  0.100007E+03  0.999131E+00  0.512767E-01  0.864828E+00  0.936445E+01  0.517372E+00
