================================================================================
 case4                                                                                               
 Short sim name = case4           
================================================================================
    t-t0    NO            NO2           O3            OH            HO2           CO            H2O2          HNO3          HCHO          C5H8          MACR          MVK     
     0.0  0.100000E+00  0.100000E+01  0.400000E+02  0.000000E+00  0.000000E+00  0.100000E+03  0.100000E+01  0.000000E+00  0.500000E+00  0.100000E+01  0.000000E+00  0.000000E+00
    10.0  0.172409E+00  0.927130E+00  0.400706E+02  0.281659E+07  0.249260E+08  0.100000E+03  0.999881E+00  0.224973E-03  0.499839E+00  0.996902E+00  0.223268E-03  0.140175E-03
    20.0  0.228454E+00  0.870408E+00  0.401264E+02  0.324785E+07  0.551029E+08  0.100000E+03  0.999756E+00  0.470811E-03  0.500646E+00  0.993306E+00  0.912746E-03  0.618133E-03
    30.0  0.271047E+00  0.826889E+00  0.401707E+02  0.384026E+07  0.887977E+08  0.999999E+02  0.999628E+00  0.743334E-03  0.502595E+00  0.989121E+00  0.214813E-02  0.149184E-02
    40.0  0.302750E+00  0.794050E+00  0.402063E+02  0.452302E+07  0.123122E+09  0.999997E+02  0.999498E+00  0.105182E-02  0.505666E+00  0.984204E+00  0.391693E-02  0.275265E-02
    50.0  0.325999E+00  0.769509E+00  0.402356E+02  0.523065E+07  0.156120E+09  0.999994E+02  0.999367E+00  0.139863E-02  0.509744E+00  0.978526E+00  0.616159E-02  0.435932E-02
    60.0  0.342373E+00  0.751724E+00  0.402602E+02  0.591489E+07  0.186770E+09  0.999990E+02  0.999240E+00  0.178540E-02  0.514770E+00  0.972075E+00  0.885019E-02  0.628943E-02
    70.0  0.353619E+00  0.738983E+00  0.402814E+02  0.655332E+07  0.214914E+09  0.999985E+02  0.999117E+00  0.220880E-02  0.520611E+00  0.964934E+00  0.119174E-01  0.849612E-02
    80.0  0.360812E+00  0.730226E+00  0.403004E+02  0.713193E+07  0.240485E+09  0.999979E+02  0.999000E+00  0.266768E-02  0.527202E+00  0.957155E+00  0.153285E-01  0.109551E-01
    90.0  0.364989E+00  0.724431E+00  0.403179E+02  0.764870E+07  0.263639E+09  0.999973E+02  0.998891E+00  0.315910E-02  0.534440E+00  0.948824E+00  0.190345E-01  0.136314E-01
   100.0  0.366960E+00  0.720798E+00  0.403345E+02  0.810607E+07  0.284555E+09  0.999965E+02  0.998790E+00  0.368015E-02  0.542234E+00  0.940024E+00  0.229892E-01  0.164921E-01
   110.0  0.367446E+00  0.718616E+00  0.403506E+02  0.851287E+07  0.303574E+09  0.999958E+02  0.998698E+00  0.422601E-02  0.550463E+00  0.930862E+00  0.271359E-01  0.194962E-01
