        t-t0         datetime
         0.0     2018-07-04 12:00:00
      1800.0     2018-07-04 12:30:00
      3600.0     2018-07-04 13:00:00
      5400.0     2018-07-04 13:30:00
      7200.0     2018-07-04 14:00:00
      9000.0     2018-07-04 14:30:00
     10800.0     2018-07-04 15:00:00
     12600.0     2018-07-04 15:30:00
     14400.0     2018-07-04 16:00:00
     16200.0     2018-07-04 16:30:00
     18000.0     2018-07-04 17:00:00
     19800.0     2018-07-04 17:30:00
     21600.0     2018-07-04 18:00:00
     23400.0     2018-07-04 18:30:00
     25200.0     2018-07-04 19:00:00
     27000.0     2018-07-04 19:30:00
     28800.0     2018-07-04 20:00:00
     30600.0     2018-07-04 20:30:00
     32400.0     2018-07-04 21:00:00
     34200.0     2018-07-04 21:30:00
     36000.0     2018-07-04 22:00:00
     37800.0     2018-07-04 22:30:00
     39600.0     2018-07-04 23:00:00
     41400.0     2018-07-04 23:30:00
     43200.0     2018-07-05 00:00:00
     45000.0     2018-07-05 00:30:00
     46800.0     2018-07-05 01:00:00
     48600.0     2018-07-05 01:30:00
     50400.0     2018-07-05 02:00:00
     52200.0     2018-07-05 02:30:00
     54000.0     2018-07-05 03:00:00
     55800.0     2018-07-05 03:30:00
     57600.0     2018-07-05 04:00:00
     59400.0     2018-07-05 04:30:00
     61200.0     2018-07-05 05:00:00
     63000.0     2018-07-05 05:30:00
     64800.0     2018-07-05 06:00:00
     66600.0     2018-07-05 06:30:00
     68400.0     2018-07-05 07:00:00
     70200.0     2018-07-05 07:30:00
     72000.0     2018-07-05 08:00:00
     73800.0     2018-07-05 08:30:00
     75600.0     2018-07-05 09:00:00
     77400.0     2018-07-05 09:30:00
     79200.0     2018-07-05 10:00:00
     81000.0     2018-07-05 10:30:00
     82800.0     2018-07-05 11:00:00
     84600.0     2018-07-05 11:30:00
     86400.0     2018-07-05 12:00:00
